epoch,accuracy,learning_rate,loss,recall,val_accuracy,val_loss,val_recall
0,0.913566529750824,0.0010000000474974513,0.2508998513221741,0.9222735166549683,0.9572845101356506,0.14903958141803741,0.9602649211883545
1,0.9686594009399414,0.0010000000474974513,0.10054808109998703,0.9727957248687744,0.9549961686134338,0.15465301275253296,0.9547461271286011
2,0.9811215996742249,0.0010000000474974513,0.06286131590604782,0.9837260246276855,0.9412662386894226,0.17444895207881927,0.932671070098877
3,0.98149174451828,0.0010000000474974513,0.05774026736617088,0.9827544093132019,0.9542334079742432,0.12919822335243225,0.9525386095046997
4,0.987476110458374,0.0010000000474974513,0.04026809334754944,0.98809814453125,0.9557589888572693,0.1057882308959961,0.9547461271286011
5,0.9834659695625305,0.0010000000474974513,0.046783339232206345,0.9822686314582825,0.9466056227684021,0.13011524081230164,0.935982346534729
6,0.985316812992096,0.0010000000474974513,0.042281124740839005,0.9851833581924438,0.9763539433479309,0.07610120624303818,0.9878587126731873
7,0.9862422347068787,0.0010000000474974513,0.04030238091945648,0.9872480034828186,0.9710144996643066,0.08619099110364914,0.9768211841583252
8,0.9832192063331604,0.0010000000474974513,0.04623381048440933,0.9823901057243347,0.970251739025116,0.10863205790519714,0.9779249429702759
9,0.9853785037994385,0.0010000000474974513,0.03902669623494148,0.9832402467727661,0.8993135094642639,0.22971554100513458,0.8565121293067932
10,0.9887716770172119,0.00010000000474974513,0.03262237086892128,0.9854263067245483,0.9710144996643066,0.08036227524280548,0.9768211841583252
11,0.9926583766937256,0.00010000000474974513,0.026583999395370483,0.9911343455314636,0.9740656018257141,0.08157270401716232,0.9812362194061279
